Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
458	10	5.282781700182712e+17	167465517.0	0.0	0.0	0.0	0.0			#WolfOfWallStreet is a good ass movie...took me 2 days to watch the whole thing tho lol	0.0053	0.021	0.9737
459	11	5.2826526991201485e+17	2777814352.0	0.0	0.0	0.0	7.0	5.28258045202006e+17	retweeted	RT @theviewtv: Your hosts picked their favorite costumes from our studio audience! #WhoopiCushion #WolfOfWallStreet #EnchantedView http://t…	0.0038	0.4369	0.5593
460	12	5.282633843248988e+17	15038519.0	0.0	0.0	0.0	7.0	5.28258045202006e+17	retweeted	RT @theviewtv: Your hosts picked their favorite costumes from our studio audience! #WhoopiCushion #WolfOfWallStreet #EnchantedView http://t…	0.0038	0.4369	0.5593
461	13	5.282615608806113e+17	2762553543.0	0.0	0.0	0.0	7.0	5.28258045202006e+17	retweeted	RT @theviewtv: Your hosts picked their favorite costumes from our studio audience! #WhoopiCushion #WolfOfWallStreet #EnchantedView http://t…	0.0038	0.4369	0.5593
462	14	5.28258179658838e+17	15876810.0	0.0	0.0	0.0	7.0	5.28258045202006e+17	retweeted	RT @theviewtv: Your hosts picked their favorite costumes from our studio audience! #WhoopiCushion #WolfOfWallStreet #EnchantedView http://t…	0.0038	0.4369	0.5593
463	15	5.282581007056445e+17	44143252.0	0.0	0.0	0.0	7.0	5.28258045202006e+17	retweeted	RT @theviewtv: Your hosts picked their favorite costumes from our studio audience! #WhoopiCushion #WolfOfWallStreet #EnchantedView http://t…	0.0038	0.4369	0.5593
464	16	5.28258045202006e+17	21258337.0	35.0	0.0	4.0	7.0			Your hosts picked their favorite costumes from our studio audience! #WhoopiCushion #WolfOfWallStreet #EnchantedView http://t.co/TfUnPfpgrJ	0.0034	0.3138	0.6829
465	17	5.282502570174341e+17	2385147290.0	0.0	0.0	0.0	2.0	5.276329264316703e+17	retweeted	RT @RoadshowFilms: .@Vita_Britt Then you'll love this... http://t.co/BnAadWNoW6 #WolfOfWallStreet	0.0018	0.0453	0.9529
466	18	5.282448625930076e+17	2415253825.0	0.0	0.0	0.0	1.0	5.282130631622779e+17	replied_to	@UnitedForCare @DrugPolicyNews #wolfofwallstreet #wolfpack Vote YES on Amendment 2!!! Florida needs it!	0.0118	0.188	0.8002
467	19	5.282078817460183e+17	1120916971.0	0.0	0.0	0.0	0.0			After yesterday, it's only right if I'm Jordan Belfort for Halloween #wolfofwallstreet	0.0377	0.5057	0.4567
468	20	5.282005219080929e+17	330577035.0	0.0	0.0	1.0	0.0			You can't see my tie, but I'm the wolf of Wall Street! #happyhalloween #wolfofwallstreet… http://t.co/z3Gj5aTNtH	0.0065	0.1433	0.8501
469	21	5.281754435818701e+17	83431030.0	0.0	0.0	0.0	0.0			#JordanBelfort #WolfOfWallStreet @leonardodicaprio RT RP that one buddy! #HappyHalloween 😱 http://t.co/pvTTw3EuAm	0.022	0.2571	0.7209
470	22	5.281381262002954e+17	1007994704.0	0.0	0.0	0.0	5.0	5.203518407861985e+17	retweeted	RT @warrenpsonoda: The 1 and only time I'll beat #MartinScorsese at anything: @SWEARNET dethrones #WolfOfWallStreet for @GWR record! http:/…	0.0032	0.1263	0.8705
471	23	5.2808317043317146e+17	2161263737.0	0.0	0.0	0.0	2.0	5.280824211749069e+17	retweeted	"RT @MySocialMouth: The only thing standing b/w you and your goal is the bullshit story you keep telling yourself 

#WolfofWallstreet http:/…"	0.8173	0.169	0.0136
472	24	5.280826491772723e+17	1098647598.0	0.0	0.0	0.0	2.0	5.280824211749069e+17	retweeted	"RT @MySocialMouth: The only thing standing b/w you and your goal is the bullshit story you keep telling yourself 

#WolfofWallstreet http:/…"	0.8173	0.169	0.0136
473	25	5.280631622902948e+17	218698595.0	0.0	0.0	0.0	16.0	4.200109344392765e+17	retweeted	RT @CatherinePaiz: One of the funniest scenes I've seen in a long time. Best movie #wolfofwallstreet http://t.co/bJLrf99FG3	0.0023	0.0112	0.9865
474	26	5.280521337156567e+17	498258631.0	1.0	0.0	0.0	1.0			New found inspiration to be rich someday #wolfofwallstreet #millionaire	0.0045	0.0705	0.925
475	27	5.280251351657677e+17	293865084.0	3.0	0.0	0.0	0.0			Cannot get enough of Jordan Belfort #WolfOfWallStreet	0.0512	0.1684	0.7804
476	0	5.392059625993912e+17	380629461.0	0.0	0.0	0.0	1.0	5.389731667740221e+17	retweeted	"RT @MomCoApp: ""Sell me this pen."" I'll give u a hint; it's got nothing to do with the pen. #wolfofwallstreet #marketing #tech #entrepreneur…"	0.3442	0.5752	0.0806
477	1	5.391902203828101e+17	27204202.0	0.0	0.0	0.0	0.0			Nothing quite like a dominos and wolf of wall street all snuggled in bed #thisisthelife #funtimes #wolfofwallstreet	0.0059	0.0916	0.9024
478	2	5.39186197986177e+17	566936288.0	0.0	0.0	0.0	30.0	5.363510130712371e+17	retweeted	RT @sxualgifs: Favourite part.. #wolfofwallstreet http://t.co/tFG3O0vWUy	0.003	0.0685	0.9285
479	3	5.3918076879138e+17	448297580.0	0.0	0.0	0.0	0.0			"http://t.co/ms7ers3U3c

Brilliant.  

#wolfofwallstreet"	0.0252	0.8584	0.1164
480	4	5.39171888984236e+17	23620016.0	2.0	0.0	0.0	0.0			Editing over #WolfofWallStreet  | #RHPhotography x @Revel317 x @DJBuckRodgers	0.0059	0.9437	0.0504
481	5	5.3916801253297766e+17	192207409.0	0.0	0.0	0.0	0.0			Love this film! #WolfOfWallStreet http://t.co/fog3PVUVdK	0.0027	0.0117	0.9855
482	6	5.3915643665659085e+17	1101673988.0	1.0	0.0	1.0	0.0	5.388470300731105e+17	replied_to	“@BlackPplVines: When the drugs kick in outta nowhere LMAO 😂 http://t.co/9JP2cMBjYt” @Tyler_Persinger is he on the lemons? #wolfofwallstreet	0.2995	0.6119	0.0887
